ID	from_id	owner_id	text	translation	date
-25232578_4946461	-25232578	-25232578	Отвечая на приглашение украинской генпрокуратуры «пообщаться о госизмене», Наталья Поклонская призвала ее перестать «заниматься одурманиванием народа Украины». Ранее Юрия Луценко она попросила завести дело на Петра Порошенко	Responding to the invitation of the Ukrainian Prosecutor General's Office "to talk about treason," Natalia Poklonskaya urged it to stop "intoxicating the people of Ukraine." Earlier, she asked Yuri Lutsenko to open a case against Petro Poroshenko	17.01.2018 01:28
-25232578_4949187	-25232578	-25232578	Кинокартина Алексея Учителя не выйдет в украинский прокат из-за участия российского музыканта из черного списка в создании фильма, заявили в экспертном совете при Госкино Украины, не назвав при этом имени этого человека	The film by Oleksiy Uchitel will not be released in Ukrainian cinemas due to the participation of a blacklisted Russian musician in the making of the film, the expert council at the State Cinema Committee of Ukraine said, without naming the name of this person.	17.01.2018 22:53
-25232578_4950126	-25232578	-25232578	Верховная рада Украины законодательно признала отдельные районы Донецкой и Луганской областей оккупированными территориями, а Россию — страной-агрессором	The Verkhovna Rada of Ukraine legally recognized certain areas of Donetsk and Luhansk regions as occupied territories, and Russia as an aggressor country	18.01.2018 10:08
-25232578_4955144	-25232578	-25232578	На Украине обнаружили крупное месторождение золота, запасы которого геологи оценили в 2,4 т. Строить на нем завод по извлечению золотой руды «нет смысла», считают специалисты	A large gold deposit was discovered in Ukraine, the reserves of which were estimated by geologists at 2.4 tons. It makes no sense to build a gold ore plant on it, experts say.	19.01.2018 15:55
-25232578_4960759	-25232578	-25232578	Речь идет о 128-й отдельной горно-пехотной бригаде Вооруженных сил Украины, известной как «Закарпатский легион»	We are talking about the 128th separate mountain infantry brigade of the Armed Forces of Ukraine, known as the "Transcarpathian Legion"	21.01.2018 22:57
-25232578_4964768	-25232578	-25232578	Песков заявил, что слова Путина о возврате военной техники из Крыма необходимо рассматривать как официальное предложение, и уточнил, что украинские власти должны дать четкий ответ, хотят ли они забрать ее или нет	Peskov said that Putin's words about the return of military equipment from Crimea should be viewed as an official proposal, and clarified that the Ukrainian authorities must give a clear answer whether they want to take it back or not.	23.01.2018 09:45
-25232578_4966979	-25232578	-25232578	Русский язык исключили из списка предметов, по которым выпускники Украины сдают Внешнее независимое тестирование. Власти объясняют решение невысоким спросом	The Russian language was excluded from the list of subjects in which Ukrainian graduates pass the External Independent Testing. The authorities explain the decision by low demand	23.01.2018 18:45
-25232578_4972428	-25232578	-25232578	Президент Украины Порошенко «забыл» назвать себя бенифициаром завода в Германии. DW считает, что он нарушил закон о борьбе с отмыванием денег	President of Ukraine Poroshenko "forgot" to call himself the beneficiary of the plant in Germany. DW believes he violated anti-money laundering law	25.01.2018 06:28
-25232578_4975888	-25232578	-25232578	Украинский суд приговорил к 10 годам тюрьмы россиянина Виктора Агеева, задержанного прошлым летом под Луганском. Его обвинили в участии в террористической организации, защита намерена обжаловать приговор	Ukrainian court sentenced Russian Viktor Ageyev, who was detained last summer near Luhansk, to 10 years in prison. He was accused of participation in a terrorist organization. The defense intends to appeal the verdict	26.01.2018 04:15
-25232578_4978597	-25232578	-25232578	Украинская прокуратура проследит, чтобы Михаил Саакашвили возвращался домой не позже 22:00. Суд назначил политику, подозреваемому в организации протестов для свержения власти в стране, ночной домашний арест	The Ukrainian prosecutor's office will ensure that Mikhail Saakashvili returns home no later than 22:00. Court appoints politician suspected of organizing protests to overthrow government, overnight house arrest	26.01.2018 14:44
-25232578_4980024	-25232578	-25232578	Черный список был дополнен новыми названиями российских компаний в связи с конфликтом на Украине и «оккупацией Крыма», заявили в Минфине США. Ранее причину, по которой были введены эти ограничения, МИД России назвал «надуманной»	The black list was supplemented with new names of Russian companies in connection with the conflict in Ukraine and the "occupation of Crimea," the US Treasury said. Earlier, the Russian Foreign Ministry called the reason for the introduction of these restrictions "far-fetched"	26.01.2018 23:08
-25232578_4982874	-25232578	-25232578	Украинский историк объяснил свои слова об опасности Высоцкого и Цоя для Украины. По его мнению, имена музыкантов могут использоваться в целях Москвы и он опредостерегает о возможных последствиях	The Ukrainian historian explained his words about the danger of Vysotsky and Tsoi for Ukraine. In his opinion, the names of the musicians can be used for the purposes of Moscow and he warns of possible consequences.	28.01.2018 09:55
-25232578_5003460	-25232578	-25232578	Санкции США и Евросоюза против России лишили Украину половины ВВП, заявил депутат Верховной рады Евгений Мураев. «Мир необходим для того, чтобы вернуть привычные рынки», — добавил он	The US and EU sanctions against Russia have deprived Ukraine of half of its GDP, said the deputy of the Verkhovna Rada Yevgeny Muraev. “Peace is needed to bring back the familiar markets,” he added.	03.02.2018 11:00
-25232578_5017722	-25232578	-25232578	Учредитель одной из крупнейших металлургических компаний Украины Олег Мкртчан арестован в Москве. Его подозревают в растрате средств госбанков	The founder of one of the largest metallurgical companies in Ukraine, Oleg Mkrtchan, was arrested in Moscow. He is suspected of embezzling funds from state banks	08.02.2018 08:45
-25232578_5027927	-25232578	-25232578	Украинские мигранты заняли второе место в рейтинге «50 самых влиятельных людей польской экономики». По степени влияния они уступили только премьер-министру Польши	Ukrainian migrants were ranked second in the "50 most influential people in the Polish economy" rating. In terms of influence, they were second only to the Prime Minister of Poland.	11.02.2018 07:20
-25232578_5031165	-25232578	-25232578	ФСБ в Симферополе задержала украинца, который собирал и передавал спецслужбам Украины составляющие гостайну сведения о частях Росгвардии. В отношении него возбуждено уголовное дело по статье «Шпионаж»	The FSB in Simferopol detained a Ukrainian who was collecting and transmitting to the special services of Ukraine state-secret information about parts of the Russian Guard. A criminal case was initiated against him under the article "Espionage"	12.02.2018 11:25
-25232578_5035377	-25232578	-25232578	На Украине книгу Поклонской признали опасной для государства. В перечень запрещенных к продаже также попали издания Лимонова, Прилепина и Вассермана	In Ukraine, Poklonskaya's book was recognized as dangerous for the state. The list of prohibited for sale also includes publications by Limonov, Prilepin and Wasserman.	13.02.2018 15:30
-25232578_5036150	-25232578	-25232578	США предложили ввести санкции против латвийского банка ABLV, который предоставлял услуги по отмыванию денег и нарушал санкционный режим против Северной Кореи. Сомнительными услугами «на миллиарды долларов» пользовались украинские чиновники и беглые бизнесмены	The United States proposed to impose sanctions against the Latvian bank ABLV, which provided money laundering services and violated the sanctions regime against North Korea. Doubtful services "worth billions of dollars" were used by Ukrainian officials and runaway businessmen	13.02.2018 18:43
-25232578_5037846	-25232578	-25232578	Путин и Порошенко обсудили тему обмена военнопленными и «безальтернативность выполнения минских договоренностей». Также украинский президент принес соболезнования в связи с падением Ан-148	Putin and Poroshenko discussed the topic of exchange of prisoners of war and "no alternative to the implementation of the Minsk agreements." Also, the Ukrainian president offered condolences in connection with the fall of the An-148	14.02.2018 10:58
-25232578_5039889	-25232578	-25232578	Россия собирается прекратить добычу на крупнейшем газовом месторождении крымской шельфовой зоны — Одесском. Это связано с межгосударственным спором с Украиной в международном арбитраже, выяснил РБК	Russia is going to stop production at the largest gas field in the Crimean shelf zone - Odessa. This is due to an interstate dispute with Ukraine in international arbitration, RBC found out	14.02.2018 21:06
-25232578_5043041	-25232578	-25232578	Первое место в рейтинге самых «несчастных» экономик мира уже четвертый год подряд занимает Венесуэла. Также в первую десятку попали три европейских государства — Украина, Испания и Греция	The first place in the ranking of the most "unfortunate" economies in the world for the fourth year in a row is Venezuela. Also in the top ten were three European states - Ukraine, Spain and Greece	15.02.2018 17:45
-25232578_5045923	-25232578	-25232578	Глава МИД Венгрии Сийярто обвинил власти Украины в том, что они игнорируют интересы этнических венгров, проживающих в Закарпатской области	Hungarian Foreign Minister Siyarto accused the Ukrainian authorities of ignoring the interests of ethnic Hungarians living in the Transcarpathian region	16.02.2018 17:15
-25232578_5047271	-25232578	-25232578	Украинский стартап Hushme начал массовое производство гарнитуры, которая скрывает телефонные разговоры от других	Ukrainian startup Hushme began mass production of a headset that hides phone conversations from others	17.02.2018 09:02
-25232578_5048074	-25232578	-25232578	Четыре украинских издания отправили письмо руководству страны, в котором потребовали остановить вмешательство государства в работу журналистов и прекратить слежку за сотрудниками СМИ	Four Ukrainian publisher sent a letter to the country's leadership, in which they demanded to stop state interference in the work of journalists and stop spying on media workers.	17.02.2018 13:45
-25232578_5054026	-25232578	-25232578	Сделка по поставкам антрацитового угля из США помогла Украине не только решить свои энергетические вопросы, но и улучшить отношения Киева с Дональдом Трампом, выяснил Reuters	The deal on the supply of anthracite coal from the United States helped Ukraine not only solve its energy issues, but also improve relations between Kiev and Donald Trump, Reuters found out.	20.02.2018 01:29
-25232578_5054944	-25232578	-25232578	Потери Украины от нарушения Россией ее прав морской державы оцениваются в «достаточно большую сумму», заявила замглавы МИД Елена Зеркаль. Назвать точную цифру она отказалась, отметив, что не любит «спекулировать миллиардами»	Ukraine's losses from Russia's violation of its rights as a maritime power are estimated at "a fairly large amount," said Deputy Foreign Minister Olena Zerkal. She refused to give the exact figure, noting that she does not like to "speculate in billions"	20.02.2018 09:56
-25232578_5056228	-25232578	-25232578	«У нас появилась новая страна, которая производит и организует наркотрафик, — это Украина», — заявили в МВД. Замглавы ведомства Зубов рассказал, что «украинский наркотический фактор» появился и в Аргентине, о чем ему сообщил министр общественной безопасности страны	“We have a new country that produces and organizes drug trafficking - this is Ukraine,” the Interior Ministry said. Deputy head of the department Zubov said that the "Ukrainian drug factor" appeared in Argentina as well, as reported by the Minister of Public Security of the country.	20.02.2018 16:14
-25232578_5056677	-25232578	-25232578	Спецпрокурор США Мюллер, ведущий расследование о связи окружения Трампа с Россией, обвинил юриста лондонской фирмы Skadden Алекса ван дер Цвана в даче ложных показаний ФБР. По версии обвинения, юрист солгал следствию о своей работе на украинское правительство в 2012 году	US Special Prosecutor Mueller, who is investigating the connection between Trump's entourage and Russia, accused the lawyer of the London firm Skadden, Alex van der Zwan, of perjury to the FBI. According to the prosecution, the lawyer lied to the investigation about his work for the Ukrainian government in 2012	20.02.2018 18:25
-25232578_5057995	-25232578	-25232578	За год стоимость товаров из так называемой мясной корзины украинца выросла в среднем на 40%. Сильнее всего выросли цены на сало (+80%) и свинину (+55%)	Over the year, the cost of goods from the so-called Ukrainian meat basket has grown by an average of 40%. The highest growth rates were for lard (+ 80%) and pork (+ 55%)	21.02.2018 12:10
